title,company,location,work_type,level,compensation,link,id,ai_type
Senior Software Engineer - AI Products,hyperexponential,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer-london/7950954,7950954,ai-support
Founding AI Product Engineer,Nory,2 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7642028,7642028,ai-support
"Senior Machine Learning Engineer, Data for Embodied AI",Wayve,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/senior-machine-learning-engineer-data-embodied-ai/7436250,7436250,ai-first
AI Platform Engineer,Light (light.inc),"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/ai-platform-engineer/8369199,8369199,ai-support
Senior Software Engineer AI,Thomson Reuters,"London, Greater London, England, GBR",Hybrid,Senior level,,https://builtin.com/job/senior-software-engineer-ai/7762573,7762573,ai-support
Software Engineer - AI,Thomson Reuters,"London, Greater London, England, GBR",Hybrid,Mid level,,https://builtin.com/job/software-engineer-ai/7821596,7821596,ai-support
Senior AI Deployment Engineer,Inari Medical,12 Locations,In-Office,Senior level,,https://builtin.com/job/senior-ai-deployment-engineer/8341108,8341108,ai-first
Software Engineer (Applied AI),Euphoric,"London, Greater London, England, GBR",In-Office,Junior,90K-110K Annually,https://builtin.com/job/software-engineer-applied-ai/8362948,8362948,ai-support
Senior Java Engineer - AI Enablement,IG Group,"Cannon Street, London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/senior-java-engineer-ai-enablement/8362758,8362758,ai-support
"Senior ML Engineer (LLM, Agentic AI)",Nisos,United Kingdom,,Senior level,,https://builtin.com/job/senior-ml-engineer-llm-agentic-ai/7772649,7772649,ai-first
AI Staff Engineer,Multiverse,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/ai-solutions-engineer/8356379,8356379,ai-support
AI Research Engineer,Xaira Therapeutics,"London, Greater London, England, GBR",In-Office or Remote,Senior level,,https://builtin.com/job/senior-staff-research-engineer/6596263,6596263,ai-first
Principal AI Deployment Engineer,Howden Re,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/principal-ai-deployment-engineer/8342705,8342705,ai-first
"Machine Learning Engineer, AI Foundations",Waymo,2 Locations,In-Office,Mid level,93K-100K Annually,https://builtin.com/job/machine-learning-engineer-ai-foundations/8331644,8331644,ai-first
"Senior Machine Learning Engineer, AI Foundations",Waymo,2 Locations,In-Office,Senior level,120K-130K Annually,https://builtin.com/job/senior-machine-learning-engineer-ai-foundations/8329804,8329804,ai-first
"Lead Engineer, AI Platform",Bullish,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/lead-engineer-ai-platform/8325337,8325337,ai-first
Sr. AI Systems Engineer,AiFi Inc.,"London, England, GBR",In-Office or Remote,Senior level,,https://builtin.com/job/sr-ai-systems-engineer/3756970,3756970,ai-first
AI Native Engineer - AI Enablement,OakNorth,"London, Greater London, England, GBR",Hybrid,Senior level,,https://builtin.com/job/ai-native-engineer-ai-enablement/8314134,8314134,ai-first
Senior Machine Learning Engineer - AI Foundations,Kraken,"London, Greater London, England, GBR",In-Office or Remote,Mid level,,https://builtin.com/job/senior-machine-learning-engineer-ai-foundations/8312117,8312117,ai-first
Quantitative Developer -  AI Implementation,WorldQuant,8 Locations,In-Office,Junior,150K-200K Annually,https://builtin.com/job/quantitative-developer-ai-implementation/6417854,6417854,ai-support
AI Engineer (Technical Product Owner),Foxelli Group,26 Locations,In-Office or Remote,Mid level,1K-2K Annually,https://builtin.com/job/n8n-automation-specialist/8135769,8135769,ai-first
Senior Software Engineer I (Python & AI),LexisNexis,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/senior-software-engineer-i-python-ai/7609962,7609962,ai-support
AI Engineer - Remote Europe,Reedsy,6 Locations,Remote,Mid level,70K-120K Annually,https://builtin.com/job/ai-engineer-remote-europe/7771933,7771933,ai-first
Developer Relations Manager - Artificial Intelligence,NVIDIA,UK,Remote,Expert/Leader,,https://builtin.com/job/developer-relations-manager-artificial-intelligence/7745041,7745041,ai-support
AI/ ML Engineer (Python),proSapient,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-ml-engineer-python/7787209,7787209,ai-first
AI - Enabled Software Engineer,Mark43,United Kingdom,,Senior level,,https://builtin.com/job/ai-enabled-software-engineer/4765340,4765340,ai-support
Staff AI Data Engineer -  Rockerbox,DoubleVerify,United Kingdom,Remote,Senior level,128K-230K Annually,https://builtin.com/job/staff-software-engineer-data-rockerbox/7013913,7013913,ai-support
Senior AI/ML engineer,Flo Health Inc.,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/ai-ml-engineer/8075221,8075221,ai-first
Software Engineer III (Python & AI),LexisNexis,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/software-engineer-iii-python-ai/7609933,7609933,ai-support
"Senior Software Engineer, AI Data",AssemblyAI,"London, Greater London, England, GBR",In-Office,Senior level,141K-185K Annually,https://builtin.com/job/senior-software-engineer-ai-data/7878314,7878314,ai-support
Applied AI & Platform Engineer,Teneo,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/applied-ai-platform-engineer/8290254,8290254,ai-support
Backend Engineer - AI platform,Flo Health Inc.,"London, Greater London, England, GBR",In-Office,Senior level,200K-200K Annually,https://builtin.com/job/backend-engineer-ai-platform/8288611,8288611,ai-support
AI Engineer,Cytora,2 Locations,Remote,Mid level,,https://builtin.com/job/ai-engineer/7747103,7747103,ai-first
AI Developer Tooling Engineer,fanvue,UK,Remote,Mid level,,https://builtin.com/job/ai-developer-tooling-engineer/7031503,7031503,ai-first
"Distinguished Engineer, Data, ML & AI, Office of the CTO",Equinix,3 Locations,In-Office,Expert/Leader,250K-374K Annually,https://builtin.com/job/distinguished-engineer-data-ml-ai-office-cto/6837630,6837630,ai-first
AI Sales Engineer,ConnectWise,"London, Greater London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-sales-engineer/8280552,8280552,ai-support
Senior Software Engineer - AI Adoption Product,Multiverse,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/senior-software-engineer-ai-adoption-product/8273433,8273433,ai-support
"Applied AI, Forward Deployed Machine Learning Engineer - (Internship)",Mistral AI,2 Locations,In-Office,Internship,,https://builtin.com/job/applied-ai-forward-deployed-machine-learning-engineer-internship/7369042,7369042,ai-first
"Full Stack Engineer, AI Experience",Miro,"London, Greater London, England, GBR",Hybrid,Mid level,,https://builtin.com/job/full-stack-engineer-ai/6728117,6728117,ai-support
Senior AI Integration Engineer,MONY Group,2 Locations,In-Office,Senior level,,https://builtin.com/job/senior-ai-integration-engineer/6700032,6700032,ai-support
"Applied AI, Forward Deployed Machine Learning Engineer - EMEA",Mistral AI,7 Locations,In-Office or Remote,Mid level,,https://builtin.com/job/ai-solution-architect-europe/2935725,2935725,ai-first
Senior Full-Stack Engineer - Physical AI,Encord,"London, Greater London, England, GBR",Hybrid,Senior level,,https://builtin.com/job/senior-full-stack-engineer-physical-ai/8240002,8240002,ai-support
Senior AI/ML Engineer,Cyberhaven,United Kingdom,Remote,Senior level,250K-250K Annually,https://builtin.com/job/senior-ai-ml-engineer/8328592,8328592,ai-first
AI Platform Engineer,SS&C Technologies,UK,Remote,Senior level,,https://builtin.com/job/ai-platform-engineer/7530812,7530812,ai-support
Senior Software Engineer - AI Platform Engineering,Dojo,"London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-engineer/7105692,7105692,ai-support
"Software engineer, generative AI (UK)",Writer,2 Locations,In-Office or Remote,Senior level,50K-120K Annually,https://builtin.com/job/software-engineer-generative-ai-uk/8233182,8233182,ai-support
"Software engineer, AI product",Watershed,"London, England, GBR",Hybrid,Mid level,,https://builtin.com/job/software-engineer-ai-product/7082017,7082017,ai-support
Software Engineer – Applied AI Systems,Symbolica AI,"London, Greater London, England, GBR",In-Office,Mid level,30K-100K Annually,https://builtin.com/job/python-software-engineer-sdk-applied-ai-systems/7298883,7298883,ai-support
AI Data Engineer,Convatec,2 Locations,In-Office,Mid level,,https://builtin.com/job/ai-data-engineer/7829276,7829276,ai-support
AI & ML Engineer,Charlotte Tilbury,"London, England, GBR",In-Office,Mid level,,https://builtin.com/job/ai-ml-engineer/7075236,7075236,ai-first
Lead AI & ML Engineer,Charlotte Tilbury,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/lead-ai-ml-engineer/7503893,7503893,ai-first
Senior Technical Writer/Documentation Engineer - AI,hyperexponential,2 Locations,In-Office,Entry level,,https://builtin.com/job/ai-technical-writer/7298439,7298439,ai-support
"Software Engineer, AI Product Engineer",Normal Computing,3 Locations,Remote or Hybrid,Senior level,150K-250K Annually,https://builtin.com/job/software-engineer-full-stack/6773139,6773139,ai-support
Senior AI/ML Developer,Everway,UK,Remote,Senior level,,https://builtin.com/job/senior-ai-ml-developer/8189721,8189721,ai-first
Senior Python Engineer - AI,Man Group,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer/7057470,7057470,ai-support
Senior Specialist - AI & Integra Engineer - AI Group,Input Output,United Kingdom,Remote,Senior level,,https://builtin.com/job/senior-specialist-ai-integra-engineer-ai-group/7360173,7360173,ai-support
AI Product & Research Engineer,Capital,"London, England, GBR",In-Office,Mid level,1-1 Annually,https://builtin.com/job/ai-product-research-engineer/6659050,6659050,ai-first
"Senior Software Engineer - Python, ML & AI Systems",Cornspring,2 Locations,In-Office,Senior level,,https://builtin.com/job/senior-software-engineer-python-ml-ai-systems/8001383,8001383,ai-support
Back-End Engineer (Generative AI),Neo4j,"London, Greater London, England, GBR",In-Office,Senior level,200K-200K Annually,https://builtin.com/job/back-end-engineer-generative-ai/7998710,7998710,ai-support
Contract Principal Operations Engineer (Automation & AI),YLD,UK,Remote,Senior level,,https://builtin.com/job/contract-principal-operations-engineer-automation-ai/8252085,8252085,ai-support
"Full Stack Software Engineer, AI",SandboxAQ,3 Locations,Remote,Mid level,113K-186K Annually,https://builtin.com/job/full-stack-software-engineer-ai/8249765,8249765,ai-support
UK Applied AI Solution Engineer,Tomoro,4 Locations,In-Office,Mid level,70K-90K Annually,https://builtin.com/job/uk-applied-ai-solution-engineer/7984336,7984336,ai-support
Senior DevOps Engineer – Azure & Databricks (AI/ML Focus),Ascent.io,4 Locations,Remote,Senior level,,https://builtin.com/job/senior-devops-engineer-azure-databricks-ai-ml-focus/7834737,7834737,ai-support
AI / ML Engineer,BPM LLP,United Kingdom,Remote,Senior level,150K-180K Annually,https://builtin.com/job/ai-ml-engineer/7323114,7323114,ai-first
UK Senior Applied AI Solution Engineer,Tomoro,4 Locations,In-Office or Remote,Senior level,90K-135K Annually,https://builtin.com/job/uk-senior-applied-ai-solution-engineer/7984333,7984333,ai-support
Applied Scientist / Research Engineer - EMEA,Mistral AI,5 Locations,Remote or Hybrid,Mid level,,https://builtin.com/job/applied-ai-engineer-applied-science-europe-paris/3831852,3831852,ai-first
AI Developer,Cato Networks,"London, Greater London, England, GBR",In-Office,Senior level,,https://builtin.com/job/ai-developer/7806631,7806631,ai-first
"Staff Level Research Engineer, AI",Adyen,"Amsterdam, NLD",Hybrid,Expert/Leader,,https://builtin.com/job/staff-level-research-engineer-ai/6725141,6725141,ai-first
AI Engineer,dentsu,"Amsterdam, NLD",In-Office,Mid level,,https://builtin.com/job/ai-engineer/7862297,7862297,ai-first
Senior AI Engineer I,Loop Earplugs,2 Locations,In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer-i/7707835,7707835,ai-first
AI Engineer,Optiver,"Amsterdam, NLD",In-Office,Senior level,,https://builtin.com/job/ai-engineer/7195656,7195656,ai-first
ML/AI Engineer,Nebius,"Amsterdam, NLD",In-Office,Mid level,,https://builtin.com/job/ml-ai-engineer/6894754,6894754,ai-first
AI & ML Engineer,Devoteam,"Amsterdam, NLD",In-Office,Junior,,https://builtin.com/job/ai-ml-engineer/8387953,8387953,ai-first
Machine Learning Engineer (AI Core Team),Manychat,"Amsterdam, NLD",Hybrid,Mid level,,https://builtin.com/job/machine-learning-engineer-ai-core-team/7751383,7751383,ai-first
Staff Software Engineer (AI/Python),Castor,Netherlands,Remote,Senior level,,https://builtin.com/job/staff-software-engineer-ai-python/8362002,8362002,ai-support
"Staff Engineer, Distributed Storage,HPC & AI Infrastructure",Together AI,"Amsterdam, NLD",In-Office,Senior level,,https://builtin.com/job/staff-engineer-distributed-storage-and-hpc-ai-infrastructure/8256176,8256176,ai-support
Senior Staff Data Engineer- ML & AI Platform,Adevinta,"Amsterdam, NLD",In-Office,Senior level,,https://builtin.com/job/senior-staff-data-engineer-ml-ai-platform/8239343,8239343,ai-support
Senior Software Engineer (TypeScript) - AI/ML,ClickHouse,The Netherlands,Remote,Senior level,,https://builtin.com/job/fullstack-engineer-ai-ml/7598993,7598993,ai-support
Distinguished AI Engineer,Capital One,6 Locations,Hybrid,Senior level,245K-335K Annually,https://builtin.com/job/distinguished-ai-engineer/8162528,8162528,ai-first
Staff AI Engineer - Simulation Environments,Datadog,"New York, NY, USA",Hybrid,Senior level,234K-300K Annually,https://builtin.com/job/staff-ai-engineer-simulation-environments/8394384,8394384,ai-first
Advisory National CT&I - AI Engineer - Director,PwC,7 Locations,Hybrid,Expert/Leader,155K-410K Annually,https://builtin.com/job/advisory-national-ct-i-ai-engineer-director/7864001,7864001,ai-first
Senior Lead AI Engineer (Gen AI Platform Services),Capital One,5 Locations,Hybrid,Senior level,225K-281K Annually,https://builtin.com/job/senior-lead-ai-engineer-gen-ai-platform-services/6932320,6932320,ai-first
AI Engineer,Capco,"New York, NY, USA",Hybrid,Senior level,125K-143K Annually,https://builtin.com/job/ai-engineer/7740286,7740286,ai-first
Senior AI Engineer,Capital One,5 Locations,Hybrid,Senior level,162K-201K Annually,https://builtin.com/job/senior-ai-engineer/8363754,8363754,ai-first
AI Engineer,Hiya Inc.,4 Locations,Remote or Hybrid,Mid level,134K-262K Annually,https://builtin.com/job/ai-engineer/7415764,7415764,ai-first
"Global Allocation AI Engineer, Vice President",BlackRock,"New York, NY, USA",In-Office,Mid level,162K-215K Annually,https://builtin.com/job/global-allocation-ai-engineer-vice-president/7212355,7212355,ai-first
AI Engineer (Search and Context),Hex,3 Locations,Remote or Hybrid,Senior level,225K-275K Annually,https://builtin.com/job/ai-engineer-search-and-context/8074529,8074529,ai-first
Senior Lead AI Engineer (AI Foundations),Capital One,3 Locations,Hybrid,Senior level,225K-281K Annually,https://builtin.com/job/senior-lead-ai-engineer-ai-foundations/7666865,7666865,ai-first
"Senior Lead AI Engineer (FM Hosting, LLM Inference)",Capital One,3 Locations,Hybrid,Senior level,230K-286K Annually,https://builtin.com/job/senior-lead-ai-engineer-fm-hosting-llm-inference/8314732,8314732,ai-first
Senior Lead AI Engineer (MLX),Capital One,3 Locations,Hybrid,Senior level,230K-286K Annually,https://builtin.com/job/senior-lead-ai-engineer-mlx/8314728,8314728,ai-first
"Senior AI Engineer (FM Hosting, LLM Inference)",Capital One,3 Locations,Hybrid,Senior level,162K-201K Annually,https://builtin.com/job/senior-ai-engineer-fm-hosting-llm-inference/8314722,8314722,ai-first
Senior Lead AI Engineer (Remote-Eligible),Capital One,2 Locations,Remote or Hybrid,Senior level,251K-286K Annually,https://builtin.com/job/senior-lead-ai-engineer-remote-eligible/8314692,8314692,ai-first
Sr. Distinguished AI Engineer (Agentic AI Platform),Capital One,4 Locations,Hybrid,Senior level,315K-392K Annually,https://builtin.com/job/sr-distinguished-ai-engineer-agentic-ai-platform/8314668,8314668,ai-first
AI Engineer (Curator),Hex,"New York, NY, USA",Hybrid,Senior level,180K-270K Annually,https://builtin.com/job/ai-engineer-curator/7173715,7173715,ai-first
Senior Associate - AI Engineer,New York Life Insurance Company,"New York, NY, USA",In-Office,Senior level,124K-177K Annually,https://builtin.com/job/senior-associate-ai-engineer/7393603,7393603,ai-first
Sr. Lead AI Engineer,Capital One,4 Locations,Hybrid,Senior level,205K-281K Annually,https://builtin.com/job/sr-lead-ai-engineer/7904331,7904331,ai-first
Business Technology AI Engineer IV,Samsara,United States,Remote or Hybrid,Senior level,102K-137K Annually,https://builtin.com/job/business-technology-ai-engineer-iv/8384879,8384879,ai-first
"Lead AI Engineer (FM Hosting, LLM Inference)",Capital One,4 Locations,Hybrid,Mid level,197K-246K Annually,https://builtin.com/job/lead-ai-engineer-fm-hosting-llm-inference/8297038,8297038,ai-first
AI Engineer,Standard Template Labs,"New York, NY, USA",In-Office,Senior level,,https://builtin.com/job/ai-ml-engineer/7149858,7149858,ai-first
Senior Lead AI Engineer,Capital One,5 Locations,Hybrid,Senior level,225K-281K Annually,https://builtin.com/job/senior-lead-ai-engineer/7645448,7645448,ai-first
Senior Lead AI Engineer (FM Hosting),Capital One,4 Locations,Hybrid,Senior level,230K-286K Annually,https://builtin.com/job/senior-lead-ai-engineer/7645441,7645441,ai-first
"Senior AI Engineer (AI Foundations, LLM Core and Agentic AI)",Capital One,5 Locations,Hybrid,Senior level,159K-197K Annually,https://builtin.com/job/senior-ai-engineer-ai-foundations-llm-core-and-agentic-ai/7612271,7612271,ai-first
"Senior Lead AI Engineer (AI Foundations, LLM Core and Agentic AI)",Capital One,5 Locations,Hybrid,Senior level,225K-281K Annually,https://builtin.com/job/senior-lead-ai-engineer-ai-foundations-llm-core-and-agentic-ai/7612300,7612300,ai-first
"Lead AI Engineer (AI Foundations, LLM Core and Agentic AI)",Capital One,5 Locations,Hybrid,Mid level,197K-246K Annually,https://builtin.com/job/lead-ai-engineer-ai-foundations-llm-core-and-agentic-ai/7612306,7612306,ai-first
"Senior AI Engineer  (AI Foundations, LLM Core and Agentic AI)",Capital One,5 Locations,Hybrid,Senior level,162K-201K Annually,https://builtin.com/job/senior-ai-engineer-ai-foundations-llm-core-and-agentic-ai/7612302,7612302,ai-first
Senior Enterprise AI Engineer,Wasabi Technologies,United States of America,Remote,Senior level,160K-200K Annually,https://builtin.com/job/senior-enterprise-ai-engineer/8348181,8348181,ai-first
Principal AI Engineer (Remote),Rula,United States,Remote,Senior level,229K-284K Annually,https://builtin.com/job/principal-ai-engineer-remote/8334407,8334407,ai-first
Senior Lead AI Engineer (LLM Customization and Finetuning),Capital One,5 Locations,Hybrid,Senior level,225K-281K Annually,https://builtin.com/job/senior-lead-ai-engineer-llm-customization-and-finetuning/6932183,6932183,ai-first
Senior AI Engineer (LLM Core),Capital One,5 Locations,Hybrid,Senior level,159K-197K Annually,https://builtin.com/job/senior-ai-engineer-llm-core/6932213,6932213,ai-first
Advisory National CT&I - AI Engineer - Manager,PwC,6 Locations,Hybrid,Senior level,99K-232K Annually,https://builtin.com/job/advisory-national-ct-i-ai-engineer-manager/7590114,7590114,ai-first
"2026 Technology, Data, AI & Ventures Summer Internship Program - AI Engineer/Data Scientist Intern",New York Life Insurance Company,"New York, NY, USA",In-Office,Internship,30-35 Hourly,https://builtin.com/job/2026-technology-data-ai-ventures-summer-internship-program-ai-ml-intern/7332289,7332289,ai-first
Sr/Staff AI Engineer,BNSF Railway,United States,Remote,Senior level,160K-300K Annually,https://builtin.com/job/sr-staff-ai-engineer/8318455,8318455,ai-first
Senior AI Engineer (AI Foundations),Capital One,4 Locations,Hybrid,Mid level,159K-197K Annually,https://builtin.com/job/senior-ai-engineer-ai-foundations/7086912,7086912,ai-first
"Lead AI Engineer (AI Foundations, LLM Core)",Capital One,5 Locations,Hybrid,Mid level,193K-241K Annually,https://builtin.com/job/lead-ai-engineer-ai-foundations-llm-core/7086915,7086915,ai-first
Full Stack AI Engineer - Senior Associate - Commercial Technology & Innovation,PwC,6 Locations,Hybrid,Mid level,77K-202K Annually,https://builtin.com/job/advisory-national-ct-i-ai-engineer-senior-associate/7590111,7590111,ai-first
Applied AI Engineer,Zapier,2 Locations,Remote,Senior level,192K-287K Annually,https://builtin.com/job/applied-ai-engineer/8284307,8284307,ai-first
Lead AI Engineer,Capital One,5 Locations,Hybrid,Mid level,197K-246K Annually,https://builtin.com/job/lead-ai-engineer-ai-foundations/7503993,7503993,ai-first
"Senior Lead AI Engineer (AI Foundations, LLM Core)",Capital One,5 Locations,Hybrid,Senior level,225K-281K Annually,https://builtin.com/job/senior-lead-ai-engineer-ai-foundations-llm-core/7300084,7300084,ai-first
Senior AI Engineer,Samsara,United States,Remote or Hybrid,Senior level,126K-190K Annually,https://builtin.com/job/senior-ai-engineer/7125600,7125600,ai-first
"Staff AI Engineer, Trust & Safety Operations",Hinge,"New York, NY, USA",Hybrid,Senior level,250K-325K Annually,https://builtin.com/job/staff-ai-engineer-trust-safety-operations/8025892,8025892,ai-first
Sr. Distinguished AI Engineer,Capital One,6 Locations,Hybrid,Expert/Leader,286K-392K Annually,https://builtin.com/job/sr-distinguished-ai-engineer/8028327,8028327,ai-first
"Senior AI Engineer (Gen AI Platform Services, Agentic Systems)",Capital One,5 Locations,Hybrid,Senior level,159K-197K Annually,https://builtin.com/job/senior-ai-engineer-gen-ai-platform-services-agentic-systems/8029698,8029698,ai-first
Product Engineer - AI Platform,Hex,2 Locations,Hybrid,Senior level,160K-236K Annually,https://builtin.com/job/product-engineer-ai-platform/7249064,7249064,ai-support
"Senior Software Engineer (Backend, Tech Lead - AI-Enabled Systems)",Particle Health,"New York City, NY, USA",In-Office,Senior level,190K-220K Annually,https://builtin.com/job/senior-software-engineer-backend-tech-lead-ai-enabled-systems/8393632,8393632,ai-support
Senior AI Engineer - APM Experiences,Datadog,"New York, NY, USA",Hybrid,Senior level,187K-240K Annually,https://builtin.com/job/senior-ai-engineer-apm-experiences/7775659,7775659,ai-first
"Lead AI Engineer (Gen AI Platform Services, Python, Kubernetes)",Capital One,5 Locations,Hybrid,Senior level,193K-241K Annually,https://builtin.com/job/lead-ai-engineer-gen-ai-platform-services-python-kubernetes/7060345,7060345,ai-first
Applied AI Engineer,Automattic,"New York, NY, USA",In-Office,Mid level,130K-250K Annually,https://builtin.com/job/applied-ai-engineer/7047212,7047212,ai-first
Sr Staff Cyber Security Engineer (AI),NBCUniversal,"New York, NY, USA",Remote or Hybrid,Senior level,145K-175K Annually,https://builtin.com/job/sr-staff-cyber-security-engineer-ai/8383139,8383139,ai-support
AI Staff Software Engineer (Patient),Headway,3 Locations,In-Office,Senior level,224K-280K Annually,https://builtin.com/job/ai-staff-software-engineer-patient/8381956,8381956,ai-support
Experienced Software Engineer - AI Tools,Hudson River Trading,2 Locations,In-Office,Senior level,200K-300K Annually,https://builtin.com/job/experienced-software-engineer-ai-tools/8380657,8380657,ai-support
Staff Applied AI/ ML Engineer - Customer Experience Platform,Gusto,5 Locations,Remote or Hybrid,Senior level,200K-290K Annually,https://builtin.com/job/staff-machine-learning-engineer-applied-ai-ml/6998832,6998832,ai-first
"Staff Applied AI and Machine Learning Engineer, Payments & Risk",Gusto,6 Locations,Remote or Hybrid,Senior level,170K-250K Annually,https://builtin.com/job/staff-applied-modeler-risk/7121992,7121992,ai-first
Software Engineer - AI Platform,Superblocks,"New York City, NY, USA",In-Office,Mid level,175K-275K Annually,https://builtin.com/job/software-engineer-ai-platform/8380448,8380448,ai-support
"Sr, Distinguished AI Engineer",Capital One,5 Locations,Hybrid,Expert/Leader,286K-392K Annually,https://builtin.com/job/sr-distinguished-ai-engineer/8169985,8169985,ai-first
Senior AI/ML Software Engineer - Remote,Optum,5 Locations,In-Office or Remote,Senior level,90K-161K Annually,https://builtin.com/job/senior-ai-ml-software-engineer-remote/8130350,8130350,ai-support
Senior Associate - AI Solutions Intelligence Engineer,New York Life Insurance Company,"New York, NY, USA",In-Office,Senior level,124K-177K Annually,https://builtin.com/job/senior-associate-ai-solutions-intelligence-engineer/8119974,8119974,ai-support
AI Research Engineer – Datadog AI Research (DAIR),Datadog,"New York, NY, USA",Hybrid,Mid level,140K-400K Annually,https://builtin.com/job/ai-research-engineer-datadog-ai-research-dair/6943298,6943298,ai-first
Senior Software Engineer - AI Code Gen - Agent Engineer,Datadog,"New York, NY, USA",Hybrid,Senior level,187K-240K Annually,https://builtin.com/job/senior-software-engineer-ai-code-gen-agent-engineer/6732984,6732984,ai-support
"Staff Software Engineer, AI",BlackLine,"New York, NY, USA",Remote or Hybrid,Mid level,193K-242K Annually,https://builtin.com/job/staff-software-engineer-ai/8236284,8236284,ai-support
Principal Conversational AI Developer,Genesys,8 Locations,In-Office or Remote,Senior level,105K-194K Annually,https://builtin.com/job/ps-principal-ai-voicebot-developer/7709436,7709436,ai-first
Senior Customer AI Engineer,Bluefish,"New York, NY, USA",In-Office,Senior level,,https://builtin.com/job/senior-customer-ai-engineer/8395378,8395378,ai-first
Applied AI Engineer,Sapien (sapien.ai),"New York, NY, USA",In-Office,Mid level,,https://builtin.com/job/research-engineer/7484248,7484248,ai-first
"Senior Sales Engineer, AI Platform",Uniphore,2 Locations,In-Office or Remote,Senior level,142K-195K Annually,https://builtin.com/job/senior-sales-engineer-ai-platform/8344098,8344098,ai-support
Applied AI Engineer (AI Automation),Fusemachines,"New York, NY, USA",In-Office,Mid level,,https://builtin.com/job/applied-ai-engineer-ai-automation/8165487,8165487,ai-first
AI Engineer,Graphite,"New York, NY, USA",In-Office,Mid level,140K-200K Annually,https://builtin.com/job/ai-engineer/8387142,8387142,ai-first
Lead AI Software Engineer- AI Enablement,Mastercard,"New York, NY, USA",Hybrid,Senior level,168K-277K Annually,https://builtin.com/job/lead-ai-software-engineer-ai-enablement/8331154,8331154,ai-support
Senior Sales AI Engineer,Bluefish,"New York, NY, USA",In-Office,Senior level,,https://builtin.com/job/senior-sales-engineer/7740528,7740528,ai-first
ML/AI Engineer,Rillet,2 Locations,In-Office,Mid level,100K-200K Annually,https://builtin.com/job/ml-ai-engineer/7255651,7255651,ai-first
Forward Deployed AI Engineer,Tenex (tenex.co),"New York City, NY, USA",In-Office,Mid level,250K-800K Annually,https://builtin.com/job/forward-deployed-ai-engineer/7257124,7257124,ai-first
Computer Vision AI Engineer,Momenti,"10014, New York, NY, USA",In-Office,Mid level,115K-175K Annually,https://builtin.com/job/computer-vision-ai-engineer/7735177,7735177,ai-first
Machine Learning and AI Engineer - New York,Toggle AI,"New York, NY, USA",In-Office,Senior level,180K-350K Annually,https://builtin.com/job/machine-learning-and-ai-engineer-new-york/8151500,8151500,ai-first
Applied AI Engineer (Digital Natives Business),Anthropic,3 Locations,In-Office,Mid level,200K-320K Annually,https://builtin.com/job/product-engineer-applied-ai/8152512,8152512,ai-first
Data Scientist/AI Engineer,Arctiq,"New York, NY, USA",In-Office or Remote,Mid level,,https://builtin.com/job/data-scientist-ai-engineer/8380475,8380475,ai-first
Staff AI Engineer,Rula,United States,Remote,Senior level,201K-249K Annually,https://builtin.com/job/staff-ai-engineer/8043008,8043008,ai-first
"Senior Software Engineer - Studio - Java, AI",Clear Street,"New York, NY, USA",Hybrid,Senior level,175K-240K Annually,https://builtin.com/job/senior-software-engineer-studio-java-ai/7664544,7664544,ai-support
AI Sales Engineer,Rubrik,"New York, NY, USA",In-Office,Senior level,154K-245K Annually,https://builtin.com/job/ai-sales-engineer/8316092,8316092,ai-support
Retirement AI Senior Staff Engineer,Gusto,3 Locations,Hybrid,Expert/Leader,213K-278K Annually,https://builtin.com/job/retirement-ai-senior-staff-engineer/8315109,8315109,ai-support
Applied AI Engineer,Crosby,"New York City, NY, USA",In-Office,Mid level,170K-250K Annually,https://builtin.com/job/applied-ai-engineer/8120539,8120539,ai-first
Senior Conversational AI Engineer,Farther,"New York, NY, USA",In-Office,Senior level,,https://builtin.com/job/senior-conversational-ai-engineer/8120021,8120021,ai-first
Senior AI Engineer,Recursion,2 Locations,In-Office,Senior level,112K-164K Annually,https://builtin.com/job/senior-ai-engineer/8119683,8119683,ai-first
